drug_ingredient,has_inn,buzz_count,source_regions,company,trend_tags,flags,articles_json,latest_date
Bevacizumab,True,2,EU-EMA、US-FDA,AMGEN INC,🔥 高聲量關注 | 🌍 多國/多機構聯動,臨床 三期,"[{""source"": ""US-FDA"", ""title"": ""FDA 核准新分子實體：Lytenava"", ""summary"": ""To treat patients with neovascular (wet) age-related macular degeneration"", ""url"": ""https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026"", ""date"": ""2026-07-24""}, {""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Bevacizumab"", ""summary"": ""Treatment of adult patients with advanced or metastatic cancers"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-24
Finerenone,True,1,UK-NICE,,📈 新進觀察標的,,"[{""source"": ""UK-NICE"", ""title"": ""NICE 技術評估發布：Finerenone for treating chronic heart failure with preserved or mildly reduced ejection fraction"", ""summary"": ""Finerenone for treating chronic heart failure with preserved or mildly reduced ejection fraction"", ""url"": ""https://www.nice.org.uk/guidance/ta1182"", ""date"": ""2026-08-05""}]",2026-08-05
Aficamten,True,1,UK-NICE,,📈 新進觀察標的,,"[{""source"": ""UK-NICE"", ""title"": ""NICE 技術評估發布：Aficamten for treating symptomatic obstructive hypertrophic cardiomyopathy"", ""summary"": ""Aficamten for treating symptomatic obstructive hypertrophic cardiomyopathy"", ""url"": ""https://www.nice.org.uk/guidance/ta1181"", ""date"": ""2026-07-30""}]",2026-07-30
佐加洛注射劑,False,1,TW-TFDA,友華生技醫藥股份有限公司,🇹🇼 TW 專屬・無 INN 對應,,"[{""source"": ""TW-TFDA"", ""title"": ""TFDA 核准新成分新藥：友華生技醫藥股份有限公司「佐加洛注射劑」(衛部菌疫輸字第001328號)"", ""summary"": ""審查報告摘要 PDF（英文成分名需開啟 PDF 查閱）"", ""url"": ""https://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f639205060054068007&type=2&cid=51371"", ""date"": ""2026-07-24""}]",2026-07-24
centanafadine,True,1,US-FDA,,📈 新進觀察標的,臨床 三期,"[{""source"": ""US-FDA"", ""title"": ""FDA 核准新分子實體：Simtriyo"", ""summary"": ""To treat attention-deficit hyperactivity disorder"", ""url"": ""https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026"", ""date"": ""2026-07-24""}]",2026-07-24
zidesamtinib,True,1,US-FDA,NUVALENT INC,📈 新進觀察標的,臨床 二期,"[{""source"": ""US-FDA"", ""title"": ""FDA 核准新分子實體：Jideytro"", ""summary"": ""To treat adults with locally advanced or metastatic ROS1-positive non-small cell lung cancer after receiving a ROS1 kinase inhibitor"", ""url"": ""https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026"", ""date"": ""2026-07-22""}]",2026-07-22
Abatacept,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Abatacept"", ""summary"": ""Treatment of rheumatoid, psoriatic arthritis and polyarticular juvenile idiopathic arthritis in patients 6 years of age and older"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Aceclidine,True,1,EU-EMA,,📈 新進觀察標的,,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Aceclidine"", ""summary"": ""Treatment of presbyopia in adults"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Anselamimab,True,1,EU-EMA,,📈 新進觀察標的,孤兒藥,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Anselamimab"", ""summary"": ""Treatment of adult patients with kappa light chain amyloidosis"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
Apitegromab,True,1,EU-EMA,,📈 新進觀察標的,孤兒藥 / PRIME,"[{""source"": ""EU-EMA"", ""title"": ""EMA 審查中：Apitegromab"", ""summary"": ""Treatment of 5q spinal muscular atrophy (SMA)"", ""url"": ""https://www.ema.europa.eu/en/documents/report/applications-new-human-medicines-under-evaluation-july-2026_en.xlsx"", ""date"": ""2026-07-07""}]",2026-07-07
