source_url,title,drug_name,indication,company,stage,advantage_highlights,fetch_time
https://www.oecd.org/en/topics/health.html,Just a moment...,Just,詳細適應症請參閱內文,申辦藥廠,審查/上市中,例行性藥事公告,2026-08-04 08:20
https://www.who.int/data/gho,Global Health Observatory,Global Health,詳細適應症請參閱內文,申辦藥廠,審查/上市中,例行性藥事公告,2026-08-04 08:20
https://health.ec.europa.eu/medicinal-products/legal-framework-governing-medicinal-products-human-use-eu/pharmaceutical-strategy-europe_en,A pharmaceutical strategy for Europe - Public Health - European Commission,Europe,詳細適應症請參閱內文,申辦藥廠,審查/上市中,例行性藥事公告,2026-08-04 08:20
https://www.fda.gov/drugs/development-approval-process-drugs/novel-drug-approvals-fda,無標題,新世代標靶藥物,詳細適應症請參閱內文,申辦藥廠,審查/上市中,例行性藥事公告,2026-08-04 08:20
https://www.fda.gov/drugs/drug-approvals-and-databases/drug-trials-snapshots,無標題,新世代標靶藥物,詳細適應症請參閱內文,申辦藥廠,審查/上市中,例行性藥事公告,2026-08-04 08:20
https://www.ema.europa.eu/en/medicines/medicines-human-use-under-evaluation,Medicines for human use under evaluation | European Medicines Agency (EMA),Medicines,詳細適應症請參閱內文,申辦藥廠,審查/上市中,例行性藥事公告,2026-08-04 08:20
https://www.pmda.go.jp/english/review-services/regulatory-info/0005.html,Early Consideration | Pharmaceuticals and Medical Devices Agency,Early Consideration,詳細適應症請參閱內文,申辦藥廠,審查/上市中,例行性藥事公告,2026-08-04 08:20
https://www.fda.gov/drugs/drug-approvals-and-databases/fda-adverse-event-reporting-system-faers-database,無標題,新世代標靶藥物,詳細適應症請參閱內文,申辦藥廠,審查/上市中,例行性藥事公告,2026-08-04 08:20
https://www.england.nhs.uk/ourwork/,NHS England » Our work,England,詳細適應症請參閱內文,申辦藥廠,審查/上市中,例行性藥事公告,2026-08-04 08:20
https://www.england.nhs.uk/statistics/,Statistics,Statistics,詳細適應症請參閱內文,申辦藥廠,審查/上市中,例行性藥事公告,2026-08-04 08:20
https://www.nice.org.uk/guidance/published?ndt=Guidance&ngt=Technology+appraisal+guidance,"Published guidance, NICE advice and quality standards | Guidance | NICE",Published,詳細適應症請參閱內文,申辦藥廠,審查/上市中,例行性藥事公告,2026-08-04 08:20
https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ6000,西藥、醫療器材及化粧品許可證暨相關資料查詢,新世代標靶藥物,詳細適應症請參閱內文,申辦藥廠,審查/上市中,例行性藥事公告,2026-08-04 08:20
https://www.fda.gov.tw/tc/sitelist.aspx?sid=2712&pn=1,新成分新藥核准審查報告摘要 - 查驗登記專區 - 藥品 - 業務專區 - 衛生福利部食品藥物管理署,English,詳細適應症請參閱內文,申辦藥廠,審查/上市中,例行性藥事公告,2026-08-04 08:20
https://www.nhi.gov.tw/ch/np-2476-1.html,Just a moment...,Just,詳細適應症請參閱內文,申辦藥廠,審查/上市中,例行性藥事公告,2026-08-04 08:20
