timestamp,url,domain,title,meta_description,summary
2026-08-04T07:19:36.164296Z,https://www.oecd.org/en/topics/health.html,,,403 Client Error: Forbidden for url: https://www.oecd.org/en/topics/health.html,
2026-08-04T07:19:15.468509Z,https://www.who.int/data/gho,www.who.int,Global Health Observatory,The GHO data repository is WHO's gateway to health-related statistics for its 194 Member States. It provides access to over 1000 health topics indicators,Data API
2026-08-04T07:19:16.915063Z,https://health.ec.europa.eu/medicinal-products/legal-framework-governing-medicinal-products-human-use-eu/pharmaceutical-strategy-europe_en,health.ec.europa.eu,A pharmaceutical strategy for Europe - Public Health - European Commission,"Adopted on 25 November 2020, the Pharmaceutical Strategy for Europe (reader-friendly version) aims at creating a future proof regulatory framework…",Latest:
2026-08-04T07:19:18.029748Z,https://www.fda.gov/drugs/development-approval-process-drugs/novel-drug-approvals-fda,www.fda.gov,Novel Drug Approvals at FDA | FDA,"Innovation drives progress. When it comes to innovation in the development of new drugs and therapeutic biological products, FDA’s Center for Drug Evaluation and Research (CDER) supports the pharmaceutical industry at every step of the process.","""Novel"" drugs are new drugs never before approved or marketed in the U.S. SeeDrugs@FDAfor information about all of CDER’s approved drugs and biological products."
2026-08-04T07:19:19.169032Z,https://www.fda.gov/drugs/drug-approvals-and-databases/drug-trials-snapshots,www.fda.gov,Drug Trials Snapshots | FDA,"Drug Trials Snapshots: breaking down the what, how and why. Drug Trials Snapshots are part of an overall FDA effort to make demographic data more available and transparent.",Contact Us atSnapshots@fda.hhs.gov
2026-08-04T07:19:20.522977Z,https://www.ema.europa.eu/en/medicines/medicines-human-use-under-evaluation,www.ema.europa.eu,Medicines for human use under evaluation | European Medicines Agency (EMA),"Each month, the European Medicines Agency's (EMA) publishes an updated list of medicines for human use currently under evaluation by EMA’s Committee for Medicinal Products for Human Use (CHMP) to obtain a marketing authorisation in the European Union (EU).",The CHMP meets once per month. Its evaluations ofmarketing authorisation applicationssubmitted through thecentralised procedureprovide the basis for authorisation of medicines in Europe.
2026-08-04T07:19:23.149828Z,https://www.pmda.go.jp/english/review-services/regulatory-info/0005.html,www.pmda.go.jp,Early Consideration | Pharmaceuticals and Medical Devices Agency,"Early Consideration is reference information and point of view at that time for promoting the practical application of new technologies and other innovations and the development of innovative pharmaceuticals, etc., although scientific knowledge and information have not yet been fully accumulated, Please note that this information may change in the future based on new knowledge, scientific advances, etc.","In PMDA’s Fifth Mid-term Plan (FY2024-FY2028), we will implement consultation services and reviews that appropriately respond to innovation, such as issuing Early Consideration and formulating clinical evaluation guidelines based on the latest scientific knowledge, and will compile and publish on this website Early Consideration and other documents on issues such as the practical application of innovative technologies and the development and evaluation of pharmaceuticals.Early Consideration is reference information and point of view at that time for promoting the practical application of new technologies and other innovations and the development of innovative pharmaceuticals, etc., although scientific knowledge and information have not yet been fully accumulated,Please note that this information may change in the future based on new knowledge, scientific advances, etc.The following English translations of Japanese Early Considerations are intended to be a reference material to provide convenience for users. In the event of inconsistency between the Japanese originals and the translations, the former shall prevail. The PMDA shall not be responsible for any consequence resulting from use of the English version."
2026-08-04T07:19:24.209270Z,https://www.fda.gov/drugs/drug-approvals-and-databases/fda-adverse-event-reporting-system-faers-database,www.fda.gov,FDA Adverse Event Reporting System (FAERS) Database | FDA,FDA Adverse Event Reporting System (FAERS) Database,FDA Adverse Event Reporting System Databasesupports the FDA's post-marketing safety surveillance program for all marketed drug and therapeutic biologic products. It contains adverse event reports FDA has received from manufacturers as required by regulation along with reports received directly from consumers and healthcare professionals.
2026-08-04T07:19:25.537581Z,https://www.england.nhs.uk/ourwork/,www.england.nhs.uk,NHS England » Our work,NHS England » Our work,"NHS England leads the National Health Service (NHS) in England, find out more about what we do:"
2026-08-04T07:19:26.660811Z,https://www.england.nhs.uk/statistics/,www.england.nhs.uk,Statistics,Statistics,"We publish statistics on a range of health and care subjects. These statistics are used to inform debate, decision-making and research both within Government and by the wider community."
2026-08-04T07:19:28.346387Z,https://www.nice.org.uk/guidance/published?ndt=Guidance&ngt=Technology+appraisal+guidance,www.nice.org.uk,"Published guidance, NICE advice and quality standards | Guidance | NICE","Browse the complete list of all our published health and social care guidance, including guidelines, NICE advice and quality standards",Skip to filtersSkip to results
2026-08-04T07:19:36.164445Z,https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ6000,,,404 Client Error:  for url: https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ6000,
2026-08-04T07:19:33.598704Z,https://www.fda.gov.tw/tc/sitelist.aspx?sid=2712&pn=1,www.fda.gov.tw,新成分新藥核准審查報告摘要 - 查驗登記專區 - 藥品 - 業務專區 - 衛生福利部食品藥物管理署,衛生福利部食品藥物管理署,瀏覽人次：510660829
2026-08-04T07:19:36.164494Z,https://www.nhi.gov.tw/ch/np-2476-1.html,,,403 Client Error: Forbidden for url: https://www.nhi.gov.tw/ch/np-2476-1.html,
